iter	RMSE
0	21.12752836
1	20.99713061
2	20.8693961
3	20.74455955
4	20.63416849
5	20.53721454
6	20.43233854
7	20.36070141
8	20.26424854
9	20.16959854
10	20.09409589
11	20.02171768
12	19.9387234
13	19.86349645
14	19.79208532
15	19.71770939
16	19.633332
17	19.56838689
18	19.51170945
19	19.45214332
20	19.37505162
21	19.31620197
22	19.26745495
23	19.2121055
24	19.16821922
25	19.12709587
26	19.06614199
27	19.02821579
28	18.98722819
29	18.92644495
30	18.87779716
31	18.84166724
32	18.79828349
33	18.74519467
34	18.70407505
35	18.66735895
36	18.618652
37	18.57375843
38	18.53386672
39	18.49570196
40	18.4345811
41	18.40035046
42	18.36913017
43	18.33120426
44	18.30241261
45	18.25576042
46	18.22794886
47	18.19607213
48	18.15269405
49	18.12258122
50	18.09610797
51	18.07428297
52	18.03843769
53	18.00760623
54	17.98067405
55	17.95762261
56	17.92995477
57	17.90610846
58	17.87957806
59	17.84319191
60	17.8004735
61	17.77922407
62	17.75268441
63	17.72778472
64	17.69832177
65	17.67141209
66	17.6453434
67	17.62239347
68	17.59236253
69	17.57151484
70	17.53850189
71	17.50487363
72	17.48338253
73	17.46834814
74	17.44887937
75	17.41995059
76	17.39323796
77	17.36481626
78	17.34597365
79	17.32725597
80	17.30578876
81	17.27832566
82	17.2523046
83	17.22322314
84	17.21223756
85	17.19469536
86	17.17502343
87	17.15983209
88	17.14368676
89	17.12030731
90	17.1040092
91	17.08754131
92	17.06590489
93	17.05063706
94	17.03406735
95	17.01380447
96	16.99061797
97	16.97002352
98	16.9442301
99	16.91799541
100	16.89395288
101	16.87323779
102	16.85975701
103	16.84120333
104	16.82278544
105	16.80426822
106	16.78613544
107	16.77676299
108	16.76132179
109	16.73938594
110	16.71562022
111	16.69437188
112	16.68493508
113	16.66765393
114	16.65976251
115	16.65006196
116	16.62796887
117	16.60096047
118	16.58514397
119	16.57668643
120	16.56104036
121	16.54083464
122	16.52773576
123	16.51343389
124	16.49767365
125	16.48786328
126	16.47097088
127	16.45413636
128	16.43864431
129	16.42676997
130	16.42214556
131	16.41181181
132	16.40551558
133	16.39236968
134	16.38879425
135	16.3756325
136	16.3585352
137	16.34160204
138	16.32526965
139	16.30469441
140	16.29633266
141	16.27852675
142	16.26547753
143	16.25519406
144	16.24188319
145	16.22262281
146	16.21005289
147	16.1983723
148	16.1928756
149	16.18379088
150	16.16828024
151	16.1502959
152	16.1328902
153	16.11290764
154	16.09593473
155	16.09255611
156	16.08032117
157	16.06641114
158	16.05805169
159	16.04633814
160	16.02967853
161	16.01794829
162	16.00079579
163	15.98420456
164	15.96782795
165	15.95397059
166	15.94236024
167	15.92383404
168	15.91569836
169	15.90266664
170	15.89158336
171	15.87788241
172	15.86331352
173	15.84677932
174	15.83804479
175	15.82733023
176	15.80694294
177	15.79912726
178	15.78625998
179	15.78080127
180	15.77323534
181	15.76784109
182	15.74359257
183	15.73186197
184	15.72246871
185	15.71023218
186	15.69541387
187	15.67977368
188	15.65769201
189	15.64272672
190	15.62548166
191	15.60872556
192	15.59979442
193	15.58294724
194	15.56001282
195	15.54301985
196	15.52949813
197	15.51709614
198	15.510523
199	15.50179547
200	15.48482872
201	15.47912611
202	15.46172772
203	15.44247332
204	15.42196995
205	15.40452788
206	15.39142582
207	15.38029532
208	15.37007222
209	15.36469987
210	15.35032549
211	15.33443633
212	15.32826917
213	15.31793304
214	15.29876773
215	15.28732592
216	15.28152996
217	15.27023331
218	15.25331134
219	15.24775797
220	15.24107299
221	15.22554573
222	15.21658721
223	15.19651597
224	15.19107568
225	15.18581034
226	15.1705733
227	15.16281091
228	15.1497545
229	15.12710998
230	15.10966511
231	15.10425109
232	15.09890464
233	15.09161717
234	15.06629201
235	15.06103085
